Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Reshaping data in split:	test	
Reshaping data in split:	train	
Reshaping data in split:	val	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.28 / 50, i = 376 / 67200, loss = 3.123690	
Epoch 1.28 / 50, i = 377 / 67200, loss = 3.141470	
Epoch 1.28 / 50, i = 378 / 67200, loss = 3.138281	
Epoch 1.28 / 50, i = 379 / 67200, loss = 3.155465	
Epoch 1.28 / 50, i = 380 / 67200, loss = 3.147638	
Epoch 1.28 / 50, i = 381 / 67200, loss = 3.145284	
Epoch 1.28 / 50, i = 382 / 67200, loss = 3.173409	
Epoch 1.28 / 50, i = 383 / 67200, loss = 3.163660	
Epoch 1.29 / 50, i = 384 / 67200, loss = 3.139702	
Epoch 1.29 / 50, i = 385 / 67200, loss = 3.145116	
Epoch 1.29 / 50, i = 386 / 67200, loss = 3.146592	
Epoch 1.29 / 50, i = 387 / 67200, loss = 3.163629	
Epoch 1.29 / 50, i = 388 / 67200, loss = 3.175265	
Epoch 1.29 / 50, i = 389 / 67200, loss = 3.143734	
Epoch 1.29 / 50, i = 390 / 67200, loss = 3.164431	
Epoch 1.29 / 50, i = 391 / 67200, loss = 3.155824	
Epoch 1.29 / 50, i = 392 / 67200, loss = 3.162273	
Epoch 1.29 / 50, i = 393 / 67200, loss = 3.156257	
Epoch 1.29 / 50, i = 394 / 67200, loss = 3.148822	
Epoch 1.29 / 50, i = 395 / 67200, loss = 3.124333	
Epoch 1.29 / 50, i = 396 / 67200, loss = 3.146638	
Epoch 1.30 / 50, i = 397 / 67200, loss = 3.134123	
Epoch 1.30 / 50, i = 398 / 67200, loss = 3.150608	
Epoch 1.30 / 50, i = 399 / 67200, loss = 3.152508	
Epoch 1.30 / 50, i = 400 / 67200, loss = 3.132927	
Epoch 1.30 / 50, i = 401 / 67200, loss = 3.136262	
Epoch 1.30 / 50, i = 402 / 67200, loss = 3.166133	
Epoch 1.30 / 50, i = 403 / 67200, loss = 3.161239	
Epoch 1.30 / 50, i = 404 / 67200, loss = 3.127382	
Epoch 1.30 / 50, i = 405 / 67200, loss = 3.163218	
Epoch 1.30 / 50, i = 406 / 67200, loss = 3.146300	
Epoch 1.30 / 50, i = 407 / 67200, loss = 3.134599	
Epoch 1.30 / 50, i = 408 / 67200, loss = 3.153757	
Epoch 1.30 / 50, i = 409 / 67200, loss = 3.130908	
Epoch 1.31 / 50, i = 410 / 67200, loss = 3.136977	
Epoch 1.31 / 50, i = 411 / 67200, loss = 3.160248	
