Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Loading files...	
Loading x_splits	
Loading y_splits	
Loading split_sizes	
Finished loading Torch objects from file	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.12 / 50, i = 165 / 67200, loss = 3.201560	
Epoch 1.12 / 50, i = 166 / 67200, loss = 3.212841	
Epoch 1.12 / 50, i = 167 / 67200, loss = 3.220739	
Epoch 1.12 / 50, i = 168 / 67200, loss = 3.184141	
Epoch 1.13 / 50, i = 169 / 67200, loss = 3.200368	
Epoch 1.13 / 50, i = 170 / 67200, loss = 3.189748	
Epoch 1.13 / 50, i = 171 / 67200, loss = 3.209709	
Epoch 1.13 / 50, i = 172 / 67200, loss = 3.209842	
Epoch 1.13 / 50, i = 173 / 67200, loss = 3.198881	
Epoch 1.13 / 50, i = 174 / 67200, loss = 3.203346	
Epoch 1.13 / 50, i = 175 / 67200, loss = 3.194033	
Epoch 1.13 / 50, i = 176 / 67200, loss = 3.192170	
Epoch 1.13 / 50, i = 177 / 67200, loss = 3.209635	
Epoch 1.13 / 50, i = 178 / 67200, loss = 3.200600	
Epoch 1.13 / 50, i = 179 / 67200, loss = 3.205573	
Epoch 1.13 / 50, i = 180 / 67200, loss = 3.196783	
Epoch 1.13 / 50, i = 181 / 67200, loss = 3.233009	
Epoch 1.14 / 50, i = 182 / 67200, loss = 3.190412	
Epoch 1.14 / 50, i = 183 / 67200, loss = 3.196301	
Epoch 1.14 / 50, i = 184 / 67200, loss = 3.188453	
Epoch 1.14 / 50, i = 185 / 67200, loss = 3.204987	
Epoch 1.14 / 50, i = 186 / 67200, loss = 3.206987	
Epoch 1.14 / 50, i = 187 / 67200, loss = 3.186931	
Epoch 1.14 / 50, i = 188 / 67200, loss = 3.213337	
Epoch 1.14 / 50, i = 189 / 67200, loss = 3.198024	
Epoch 1.14 / 50, i = 190 / 67200, loss = 3.199307	
Epoch 1.14 / 50, i = 191 / 67200, loss = 3.200497	
Epoch 1.14 / 50, i = 192 / 67200, loss = 3.216949	
Epoch 1.14 / 50, i = 193 / 67200, loss = 3.204628	
Epoch 1.14 / 50, i = 194 / 67200, loss = 3.177062	
Epoch 1.15 / 50, i = 195 / 67200, loss = 3.212549	
Epoch 1.15 / 50, i = 196 / 67200, loss = 3.216988	
Epoch 1.15 / 50, i = 197 / 67200, loss = 3.198110	
Epoch 1.15 / 50, i = 198 / 67200, loss = 3.200167	
Epoch 1.15 / 50, i = 199 / 67200, loss = 3.205989	
Epoch 1.15 / 50, i = 200 / 67200, loss = 3.213298	
Epoch 1.15 / 50, i = 201 / 67200, loss = 3.184211	
Epoch 1.15 / 50, i = 202 / 67200, loss = 3.219773	
Epoch 1.15 / 50, i = 203 / 67200, loss = 3.185901	
Epoch 1.15 / 50, i = 204 / 67200, loss = 3.217590	
Epoch 1.15 / 50, i = 205 / 67200, loss = 3.207373	
Epoch 1.15 / 50, i = 206 / 67200, loss = 3.220045	
Epoch 1.15 / 50, i = 207 / 67200, loss = 3.210999	
Epoch 1.15 / 50, i = 208 / 67200, loss = 3.200067	
Epoch 1.16 / 50, i = 209 / 67200, loss = 3.209688	
Epoch 1.16 / 50, i = 210 / 67200, loss = 3.198908	
Epoch 1.16 / 50, i = 211 / 67200, loss = 3.222419	
Epoch 1.16 / 50, i = 212 / 67200, loss = 3.183378	
Epoch 1.16 / 50, i = 213 / 67200, loss = 3.212854	
Epoch 1.16 / 50, i = 214 / 67200, loss = 3.220324	
Epoch 1.16 / 50, i = 215 / 67200, loss = 3.180024	
Epoch 1.16 / 50, i = 216 / 67200, loss = 3.214739	
Epoch 1.16 / 50, i = 217 / 67200, loss = 3.223825	
Epoch 1.16 / 50, i = 218 / 67200, loss = 3.196414	
Epoch 1.16 / 50, i = 219 / 67200, loss = 3.219376	
Epoch 1.16 / 50, i = 220 / 67200, loss = 3.212643	
Epoch 1.16 / 50, i = 221 / 67200, loss = 3.193920	
Epoch 1.17 / 50, i = 222 / 67200, loss = 3.203274	
Epoch 1.17 / 50, i = 223 / 67200, loss = 3.216005	
Epoch 1.17 / 50, i = 224 / 67200, loss = 3.199502	
Epoch 1.17 / 50, i = 225 / 67200, loss = 3.196787	
Epoch 1.17 / 50, i = 226 / 67200, loss = 3.219844	
Epoch 1.17 / 50, i = 227 / 67200, loss = 3.203810	
Epoch 1.17 / 50, i = 228 / 67200, loss = 3.199906	
Epoch 1.17 / 50, i = 229 / 67200, loss = 3.183338	
Epoch 1.17 / 50, i = 230 / 67200, loss = 3.200846	
Epoch 1.17 / 50, i = 231 / 67200, loss = 3.210728	
Epoch 1.17 / 50, i = 232 / 67200, loss = 3.201360	
Epoch 1.17 / 50, i = 233 / 67200, loss = 3.210930	
Epoch 1.17 / 50, i = 234 / 67200, loss = 3.189710	
Epoch 1.17 / 50, i = 235 / 67200, loss = 3.203115	
Epoch 1.18 / 50, i = 236 / 67200, loss = 3.208865	
Epoch 1.18 / 50, i = 237 / 67200, loss = 3.212226	
Epoch 1.18 / 50, i = 238 / 67200, loss = 3.197257	
Epoch 1.18 / 50, i = 239 / 67200, loss = 3.224933	
Epoch 1.18 / 50, i = 240 / 67200, loss = 3.201113	
Epoch 1.18 / 50, i = 241 / 67200, loss = 3.204468	
Epoch 1.18 / 50, i = 242 / 67200, loss = 3.196198	
Epoch 1.18 / 50, i = 243 / 67200, loss = 3.195187	
Epoch 1.18 / 50, i = 244 / 67200, loss = 3.216933	
Epoch 1.18 / 50, i = 245 / 67200, loss = 3.186727	
Epoch 1.18 / 50, i = 246 / 67200, loss = 3.197381	
Epoch 1.18 / 50, i = 247 / 67200, loss = 3.203467	
Epoch 1.18 / 50, i = 248 / 67200, loss = 3.219601	
Epoch 1.19 / 50, i = 249 / 67200, loss = 3.193880	
Epoch 1.19 / 50, i = 250 / 67200, loss = 3.202290	
Epoch 1.19 / 50, i = 251 / 67200, loss = 3.215081	
Epoch 1.19 / 50, i = 252 / 67200, loss = 3.199667	
Epoch 1.19 / 50, i = 253 / 67200, loss = 3.189324	
Epoch 1.19 / 50, i = 254 / 67200, loss = 3.219408	
Epoch 1.19 / 50, i = 255 / 67200, loss = 3.210698	
Epoch 1.19 / 50, i = 256 / 67200, loss = 3.191973	
Epoch 1.19 / 50, i = 257 / 67200, loss = 3.186341	
Epoch 1.19 / 50, i = 258 / 67200, loss = 3.202881	
Epoch 1.19 / 50, i = 259 / 67200, loss = 3.181335	
Epoch 1.19 / 50, i = 260 / 67200, loss = 3.204173	
Epoch 1.19 / 50, i = 261 / 67200, loss = 3.235765	
Epoch 1.19 / 50, i = 262 / 67200, loss = 3.193743	
Epoch 1.20 / 50, i = 263 / 67200, loss = 3.215853	
Epoch 1.20 / 50, i = 264 / 67200, loss = 3.208221	
Epoch 1.20 / 50, i = 265 / 67200, loss = 3.203995	
Epoch 1.20 / 50, i = 266 / 67200, loss = 3.199028	
Epoch 1.20 / 50, i = 267 / 67200, loss = 3.215188	
Epoch 1.20 / 50, i = 268 / 67200, loss = 3.199226	
Epoch 1.20 / 50, i = 269 / 67200, loss = 3.212042	
Epoch 1.20 / 50, i = 270 / 67200, loss = 3.227714	
Epoch 1.20 / 50, i = 271 / 67200, loss = 3.183738	
Epoch 1.20 / 50, i = 272 / 67200, loss = 3.190443	
Epoch 1.20 / 50, i = 273 / 67200, loss = 3.213936	
Epoch 1.20 / 50, i = 274 / 67200, loss = 3.203878	
Epoch 1.20 / 50, i = 275 / 67200, loss = 3.205865	
Epoch 1.21 / 50, i = 276 / 67200, loss = 3.211211	
Epoch 1.21 / 50, i = 277 / 67200, loss = 3.203999	
Epoch 1.21 / 50, i = 278 / 67200, loss = 3.162137	
Epoch 1.21 / 50, i = 279 / 67200, loss = 3.242741	
Epoch 1.21 / 50, i = 280 / 67200, loss = 3.200337	
Epoch 1.21 / 50, i = 281 / 67200, loss = 3.198388	
Epoch 1.21 / 50, i = 282 / 67200, loss = 3.202842	
Epoch 1.21 / 50, i = 283 / 67200, loss = 3.185127	
Epoch 1.21 / 50, i = 284 / 67200, loss = 3.193801	
Epoch 1.21 / 50, i = 285 / 67200, loss = 3.221984	
Epoch 1.21 / 50, i = 286 / 67200, loss = 3.202938	
Epoch 1.21 / 50, i = 287 / 67200, loss = 3.192818	
Epoch 1.21 / 50, i = 288 / 67200, loss = 3.208972	
Epoch 1.22 / 50, i = 289 / 67200, loss = 3.190869	
Epoch 1.22 / 50, i = 290 / 67200, loss = 3.224379	
Epoch 1.22 / 50, i = 291 / 67200, loss = 3.196611	
Epoch 1.22 / 50, i = 292 / 67200, loss = 3.190264	
Epoch 1.22 / 50, i = 293 / 67200, loss = 3.185954	
Epoch 1.22 / 50, i = 294 / 67200, loss = 3.214365	
Epoch 1.22 / 50, i = 295 / 67200, loss = 3.187174	
Epoch 1.22 / 50, i = 296 / 67200, loss = 3.204042	
Epoch 1.22 / 50, i = 297 / 67200, loss = 3.195597	
Epoch 1.22 / 50, i = 298 / 67200, loss = 3.205549	
Epoch 1.22 / 50, i = 299 / 67200, loss = 3.213330	
Epoch 1.22 / 50, i = 300 / 67200, loss = 3.205354	
Epoch 1.22 / 50, i = 301 / 67200, loss = 3.192579	
Epoch 1.22 / 50, i = 302 / 67200, loss = 3.191214	
Epoch 1.23 / 50, i = 303 / 67200, loss = 3.207723	
Epoch 1.23 / 50, i = 304 / 67200, loss = 3.230894	
Epoch 1.23 / 50, i = 305 / 67200, loss = 3.183357	
Epoch 1.23 / 50, i = 306 / 67200, loss = 3.206459	
Epoch 1.23 / 50, i = 307 / 67200, loss = 3.188843	
Epoch 1.23 / 50, i = 308 / 67200, loss = 3.207521	
Epoch 1.23 / 50, i = 309 / 67200, loss = 3.217421	
Epoch 1.23 / 50, i = 310 / 67200, loss = 3.178160	
